Time,Time Reference,fc1HighImuValuesAccelX.value,fc1HighImuValuesAccelY.distinct,fc1HighImuValuesAccelZ.distinct,fc1LowImuValuesAccelX.distinct,fc1LowImuValuesAccelY.distinct,fc1LowImuValuesAccelZ.distinct
1.76514E+12,4.918,-1.103346348,undefined,undefined,undefined,undefined,undefined
1.76514E+12,4.919,undefined,-0.333317041,0.025227189,-1.064815998,-0.092720002,-0.171775997
1.76514E+12,4.964,-1.160014629,undefined,undefined,undefined,undefined,undefined
1.76514E+12,4.984,-1.216682911,undefined,undefined,undefined,undefined,undefined
1.76514E+12,5.017,-1.386687875,undefined,undefined,undefined,undefined,undefined
1.76514E+12,5.019,undefined,-0.04997557,-0.463292599,-1.170223951,-0.035136003,-0.256687999
1.76514E+12,5.037,-1.330019474,undefined,undefined,undefined,undefined,undefined
1.76514E+12,5.057,-1.330019474,undefined,undefined,undefined,undefined,undefined
1.76514E+12,5.103,-1.500024438,undefined,undefined,undefined,undefined,undefined
1.76514E+12,5.119,undefined,-0.04997557,-0.463292599,-1.208287954,-0.037088003,-0.090767995
1.76514E+12,5.123,-1.613361001,undefined,undefined,undefined,undefined,undefined
1.76514E+12,5.155,-1.556692719,undefined,undefined,undefined,undefined,undefined
1.76514E+12,5.191,-1.443356156,undefined,undefined,undefined,undefined,undefined
1.76514E+12,5.219,undefined,-0.106643848,-0.219032764,-1.208287954,0.0244,-0.205936
1.76514E+12,5.224,-1.500024438,undefined,undefined,undefined,undefined,undefined
1.76514E+12,5.258,-1.273351192,undefined,undefined,undefined,undefined,undefined
1.76514E+12,5.289,-1.670029283,undefined,undefined,undefined,undefined,undefined
1.76514E+12,5.319,undefined,-0.333317041,-0.267884731,-1.220976114,-0.045872003,-0.211792007
1.76514E+12,5.325,-1.386687875,undefined,undefined,undefined,undefined,undefined
1.76514E+12,5.376,-1.500024438,undefined,undefined,undefined,undefined,undefined
1.76514E+12,5.396,-1.386687875,undefined,undefined,undefined,undefined,undefined
1.76514E+12,5.419,undefined,-0.106643848,-0.219032764,-1.222927928,-0.018544002,-0.122975998
1.76514E+12,5.429,-1.386687875,undefined,undefined,undefined,undefined,undefined
1.76514E+12,5.465,-1.386687875,undefined,undefined,undefined,undefined,undefined
1.76514E+12,5.495,-1.443356156,undefined,undefined,undefined,undefined,undefined
1.76514E+12,5.519,undefined,-0.163312137,-0.414440632,-1.223904014,0.013664001,-0.244000003
1.76514E+12,5.531,-1.443356156,undefined,undefined,undefined,undefined,undefined
1.76514E+12,5.564,-1.443356156,undefined,undefined,undefined,undefined,undefined
1.76514E+12,5.597,-1.443356156,undefined,undefined,undefined,undefined,undefined
1.76514E+12,5.619,undefined,-0.106643848,0.220635056,-1.24049592,-0.058560003,-0.172751993
1.76514E+12,5.63,-1.443356156,undefined,undefined,undefined,undefined,undefined
1.76514E+12,5.664,-1.386687875,undefined,undefined,undefined,undefined,undefined
1.76514E+12,5.697,-1.386687875,undefined,undefined,undefined,undefined,undefined
1.76514E+12,5.719,undefined,-0.333317041,-0.414440632,-1.344928026,-0.050751999,0.000976
1.76514E+12,5.73,-1.500024438,undefined,undefined,undefined,undefined,undefined
