time.3,pressure,Pressure MSL,Pressure AGL,time.15,lat,long,GPS MSL,state
565.219,95047.0,536.208,0.0108643,,,,,
565.42,95050.0,535.947,-0.250732,,,,,
565.619,95047.0,536.208,0.0108643,,,,,
565.821,95047.0,536.208,0.0108643,,,,,
566.019,95041.0,536.734,0.536682,,,,,
566.22,95047.0,536.208,0.0108643,,,,,
566.42,95048.0,536.121,-0.0762939,,,,,
566.619,95050.0,535.947,-0.250732,,,,,
566.819,95047.0,536.208,0.0108643,,,,,
567.02,95049.0,536.034,-0.163513,,,,,
567.219,95045.0,536.385,0.187927,,,,,
567.42,95046.0,536.296,0.0980835,,,,,
567.621,95049.0,536.034,-0.163513,,,,,
567.819,95049.0,536.034,-0.163513,,,,,
568.02,95051.0,535.86,-0.337891,,,,,
568.219,95046.0,536.296,0.0980835,,,,,
568.426,95047.0,536.208,0.0108643,,,,,
568.619,95049.0,536.034,-0.163513,,,,,
568.819,95049.0,536.034,-0.163513,,,,,
569.018,95050.0,535.947,-0.250732,,,,,
569.219,95048.0,536.121,-0.0762939,,,,,
569.419,95049.0,536.034,-0.163513,,,,,
569.618,95051.0,535.86,-0.337891,,,,,
569.818,95046.0,536.296,0.0980835,,,,,
570.018,95048.0,536.121,-0.0762939,,,,,
570.218,95046.0,536.296,0.0980835,,,,,
570.419,95048.0,536.121,-0.0762939,,,,,
570.619,95046.0,536.296,0.0980835,,,,,
570.818,95048.0,536.121,-0.0762939,,,,,
571.019,95046.0,536.296,0.0980835,,,,,
571.218,95049.0,536.034,-0.163513,,,,,
571.418,95049.0,536.034,-0.163513,,,,,
571.618,95048.0,536.121,-0.0762939,,,,,
571.818,95049.0,536.034,-0.163513,,,,,
572.018,95043.0,536.56,0.362305,,,,,
572.219,95047.0,536.208,0.0108643,,,,,
572.418,95043.0,536.56,0.362305,,,,,
572.618,95048.0,536.121,-0.0762939,,,,,
572.819,95047.0,536.208,0.0108643,,,,,
573.019,95055.0,535.508,-0.689331,,,,,
573.218,95047.0,536.208,0.0108643,,,,,
573.418,95047.0,536.208,0.0108643,,,,,
573.618,95049.0,536.034,-0.163513,,,,,
573.818,95048.0,536.121,-0.0762939,,,,,
574.018,95047.0,536.208,0.0108643,,,,,
574.217,95045.0,536.385,0.187927,,,,,
574.417,95047.0,536.208,0.0108643,,,,,
574.617,95048.0,536.121,-0.0762939,,,,,
574.818,95050.0,535.947,-0.250732,,,,,
575.017,95052.0,535.772,-0.42511,,,,,
575.218,95049.0,536.034,-0.163513,,,,,
575.417,95045.0,536.385,0.187927,,,,,
