Time,Time Reference(milisecond),Time Reference(seconds),fc1BaroValuesAltitude.distinct,fc1GpsValuesAltitude.distinct,fc1GpsValuesLongitude.distinct,fc1GpsValuesLatitude.distinct,fc1LowImuValuesAccelX.distinct,fc1LowImuValuesAccelY.distinct,fc1LowImuValuesAccelZ.distinct,fc1LowImuValuesGyroX.distinct,fc1LowImuValuesGyroY.distinct,fc1LowImuValuesGyroZ.distinct
1.76514E+12,100441,100.441,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100442,100.442,undefined,900.5030518,-117.8119965,35.34516525,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100446,100.446,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100451,100.451,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100456,100.45599999999999,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100458,100.458,935.562561,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100459,100.459,undefined,undefined,undefined,undefined,-1.296128035,-0.639280021,1.126303911,-67.05999756,12.25,-73.36000061
1.76514E+12,100461,100.461,undefined,899.7280273,-117.8119965,35.34516525,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100466,100.466,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100467,100.467,undefined,undefined,undefined,undefined,-1.482544065,-0.772992015,1.144847989,-18.27000046,27.37000084,-81.48000336
1.76514E+12,100471,100.471,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100475,100.475,undefined,undefined,undefined,undefined,-1.482544065,-0.772992015,1.144847989,-18.27000046,27.37000084,-81.48000336
1.76514E+12,100476,100.476,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100481,100.481,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100483,100.483,undefined,undefined,undefined,undefined,-1.308816075,-0.650991976,-0.046847999,52.56999969,42,-88.48000336
1.76514E+12,100486,100.486,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
