time,lat,long,GPS MSL,SVs
670.833,35.346498,-117.81405,3192.9373,27
671.023,35.346493,-117.81409,3198.0161,27
671.266,35.346488,-117.81413,3202.7012,27
671.433,35.346483,-117.81418,3206.9993,27
671.616,35.346478,-117.81422,3210.8962,27
671.818,35.346473,-117.81426,3214.3901,27
672.015,35.346468,-117.8143,3217.4851,27
672.261,35.346463,-117.81434,3220.1912,27
672.422,35.346458,-117.81438,3222.5061,27
672.608,35.346452,-117.81442,3224.4263,27
672.803,35.346447,-117.81446,3225.9602,27
672.989,35.346442,-117.8145,3227.0801,27
673.227,35.346438,-117.81454,3227.9341,27
673.389,35.346434,-117.81459,3228.4221,27
673.593,35.34643,-117.81463,3228.4932,27
673.794,35.346427,-117.81468,3228.2192,27
673.992,35.346422,-117.81472,3227.5332,27
674.231,35.346417,-117.81475,3226.6121,27
674.401,35.346411,-117.81478,3225.3711,27
674.584,35.346405,-117.8148,3223.7991,27
674.778,35.346399,-117.81482,3221.9661,27
674.981,35.346392,-117.81484,3219.8162,27
675.224,35.346385,-117.81485,3217.4163,27
675.393,35.346378,-117.81486,3214.7141,27
675.574,35.34637,-117.81488,3211.6892,27
675.764,35.346362,-117.81489,3208.2922,27
675.957,35.346352,-117.8149,3204.6541,27
676.185,35.346342,-117.81491,3200.7561,27
676.355,35.346335,-117.81493,3196.6631,27
676.548,35.346329,-117.81496,3192.644,26
676.747,35.34632,-117.81498,3188.5342,26
676.955,35.346309,-117.815,3184.2261,26
677.186,35.346298,-117.81501,3180.2183,26
677.353,35.346288,-117.81503,3176.4351,26
677.549,35.346279,-117.81503,3172.2441,26
677.735,35.346269,-117.81504,3168.0962,26
677.943,35.346258,-117.81504,3163.8291,27
678.178,35.346247,-117.81505,3159.2871,27
678.341,35.346238,-117.81505,3154.4702,27
678.539,35.34623,-117.81506,3149.3982,27
678.729,35.34622,-117.81506,3144.1802,27
678.933,35.346209,-117.81507,3138.853,27
679.166,35.346197,-117.81507,3133.3921,27
679.328,35.346186,-117.81508,3127.7222,27
679.523,35.346176,-117.81508,3121.7952,27
679.718,35.346165,-117.81508,3115.634,27
679.922,35.346155,-117.81508,3109.2961,27
680.132,35.346146,-117.81508,3103.0671,27
680.311,35.346135,-117.81507,3097.1052,28
680.508,35.346124,-117.81507,3091.1472,27
